hotel_id,amenity_id
1,5
1,4
1,9
1,2
1,6
1,1
2,8
2,5
2,1
2,7
2,2
2,4
2,3
3,9
3,2
3,7
3,1
3,5
3,3
3,6
3,4
3,8
4,5
4,2
4,3
4,10
4,6
4,9
4,7
5,5
5,2
5,4
5,10
5,6
5,3
5,9
5,7
5,8
6,4
6,3
6,8
6,1
6,7
6,6
6,2
6,9
7,1
7,2
7,5
7,7
7,6
7,3
7,10
7,9
7,8
7,4
8,6
8,3
8,1
8,5
8,9
8,4
8,8
9,9
9,3
9,10
9,6
9,4
9,5
10,7
10,6
10,8
10,5
10,4
10,1
10,2
10,10
11,2
11,1
11,6
11,9
11,5
11,10
11,3
12,7
12,8
12,1
12,6
12,10
12,9
12,5
12,2
12,3
13,2
13,8
13,10
13,1
13,6
13,5
13,7
14,1
14,7
14,5
14,9
14,4
14,3
14,6
14,8
14,2
15,1
15,8
15,3
15,10
15,5
15,7
16,10
16,1
16,2
16,4
16,6
16,5
16,3
16,8
16,9
16,7
17,8
17,2
17,9
17,5
17,10
17,7
18,5
18,2
18,3
18,8
18,1
18,6
18,9
18,4
18,7
18,10
19,3
19,8
19,7
19,5
19,1
19,6
19,9
19,10
20,1
20,6
20,4
20,9
20,2
20,10
20,3
20,8
21,4
21,5
21,3
21,7
21,6
21,1
21,10
21,9
21,2
22,7
22,6
22,5
22,10
22,1
22,3
22,8
23,10
23,9
23,2
23,4
23,5
23,8
23,3
23,1
23,6
24,2
24,6
24,9
24,8
24,1
24,3
24,5
24,4
24,10
25,1
25,5
25,9
25,2
25,4
25,8
25,3
25,7
25,6
25,10
26,4
26,10
26,3
26,1
26,7
26,2
26,9
26,8
27,3
27,1
27,2
27,7
27,4
27,8
27,5
